Table: Viscosity [G]
Temperature {K} 	Pressure {kPa} 	Viscosity {Pa·s} 	Uncertainty {Pa·s} 
264	2000	1.39680e-5	5.7e-9
264	2200	1.40836e-5	7.6e-9
264	2400	1.4211e-5	1e-8
265	0.05	1.32e-5	1.3e-6
265	200	1.3262800e-5	3.6e-11
265	400	1.332990e-5	1.5e-10
265	600	1.339990e-5	3.4e-10
265	800	1.347320e-5	6.3e-10
265	1000	1.35501e-5	1e-9
265	1200	1.36313e-5	1.5e-9
265	1400	1.37171e-5	2.2e-9
265	1600	1.38083e-5	3.1e-9
265	1800	1.39057e-5	4.1e-9
265	2000	1.40106e-5	5.5e-9
265	2200	1.41244e-5	7.3e-9
265	2400	1.42492e-5	9.8e-9
266	0.05	1.32e-5	1.3e-6
266	200	1.3311900e-5	3.6e-11
266	400	1.337860e-5	1.5e-10
266	600	1.344820e-5	3.4e-10
266	800	1.352100e-5	6.2e-10
266	1000	1.35974e-5	1e-9
266	1200	1.36779e-5	1.5e-9
266	1400	1.37630e-5	2.2e-9
266	1600	1.38534e-5	3e-9
266	1800	1.39498e-5	4e-9
266	2000	1.40533e-5	5.3e-9
266	2200	1.41654e-5	7e-9
266	2400	1.42880e-5	9.3e-9
267	0.05	1.33e-5	1.3e-6
267	200	1.3361000e-5	3.5e-11
267	400	1.342730e-5	1.4e-10
267	600	1.349640e-5	3.3e-10
267	800	1.356880e-5	6.1e-10
267	1000	1.364470e-5	9.9e-10
267	1200	1.37246e-5	1.5e-9
267	1400	1.38090e-5	2.1e-9
267	1600	1.38985e-5	2.9e-9
267	1800	1.39938e-5	3.9e-9
267	2000	1.40961e-5	5.2e-9
267	2200	1.42066e-5	6.8e-9
267	2400	1.43271e-5	8.9e-9
267	2600	1.4460e-5	1.2e-8
268	0.05	1.33e-5	1.3e-6
268	200	1.3410000e-5	3.5e-11
268	400	1.347590e-5	1.4e-10
268	600	1.354470e-5	3.3e-10
268	800	1.361660e-5	6e-10
268	1000	1.369200e-5	9.7e-10
268	1200	1.37713e-5	1.5e-9
268	1400	1.38550e-5	2.1e-9
268	1600	1.39436e-5	2.8e-9
268	1800	1.40380e-5	3.8e-9
268	2000	1.41390e-5	5e-9
268	2200	1.42480e-5	6.5e-9
268	2400	1.43665e-5	8.5e-9
268	2600	1.4497e-5	1.1e-8
269	0.05	1.34e-5	1.3e-6
269	200	1.3458900e-5	3.4e-11
269	400	1.352450e-5	1.4e-10
269	600	1.359290e-5	3.2e-10
269	800	1.366440e-5	5.9e-10
269	1000	1.373930e-5	9.6e-10
269	1200	1.38180e-5	1.4e-9
269	1400	1.39010e-5	2e-9
269	1600	1.39888e-5	2.8e-9
269	1800	1.40822e-5	3.7e-9
269	2000	1.41820e-5	4.8e-9
269	2200	1.42895e-5	6.3e-9
269	2400	1.44061e-5	8.2e-9
269	2600	1.4534e-5	1.1e-8
269	2800	1.4676e-5	1.4e-8
270	0.05	1.34e-5	1.3e-6
270	200	1.3507900e-5	3.4e-11
270	400	1.357310e-5	1.4e-10
270	600	1.364110e-5	3.2e-10
270	800	1.371220e-5	5.8e-10
270	1000	1.378650e-5	9.4e-10
270	1200	1.38647e-5	1.4e-9
270	1400	1.39470e-5	2e-9
270	1600	1.40340e-5	2.7e-9
270	1800	1.41264e-5	3.6e-9
270	2000	1.42251e-5	4.7e-9
270	2200	1.43312e-5	6.1e-9
270	2400	1.44460e-5	7.8e-9
270	2600	1.4572e-5	1e-8
270	2800	1.4711e-5	1.3e-8
271	0.05	1.35e-5	1.3e-6
271	200	1.3556800e-5	3.3e-11
271	400	1.362170e-5	1.4e-10
271	600	1.368930e-5	3.1e-10
271	800	1.375990e-5	5.7e-10
271	1000	1.383380e-5	9.2e-10
271	1200	1.39113e-5	1.4e-9
271	1400	1.39930e-5	1.9e-9
271	1600	1.40792e-5	2.6e-9
271	1800	1.41708e-5	3.5e-9
271	2000	1.42683e-5	4.6e-9
271	2200	1.43730e-5	5.9e-9
271	2400	1.44861e-5	7.6e-9
271	2600	1.46094e-5	9.7e-9
271	2800	1.4745e-5	1.3e-8
272	0.05	1.35e-5	1.4e-6
272	200	1.3605600e-5	3.3e-11
272	400	1.367020e-5	1.3e-10
272	600	1.373740e-5	3.1e-10
272	800	1.380760e-5	5.7e-10
272	1000	1.388100e-5	9.1e-10
272	1200	1.39580e-5	1.3e-9
272	1400	1.40390e-5	1.9e-9
272	1600	1.41245e-5	2.6e-9
272	1800	1.42151e-5	3.4e-9
272	2000	1.43116e-5	4.4e-9
272	2200	1.44149e-5	5.7e-9
272	2400	1.45264e-5	7.3e-9
272	2600	1.46475e-5	9.3e-9
272	2800	1.4781e-5	1.2e-8
272	3000	1.4929e-5	1.6e-8
273	0.05	1.36e-5	1.4e-6
273	200	1.3654400e-5	3.3e-11
273	400	1.371870e-5	1.3e-10
273	600	1.378550e-5	3.1e-10
273	800	1.385530e-5	5.6e-10
273	1000	1.392820e-5	8.9e-10
273	1200	1.40046e-5	1.3e-9
273	1400	1.40850e-5	1.9e-9
273	1600	1.41698e-5	2.5e-9
273	1800	1.42595e-5	3.3e-9
273	2000	1.43550e-5	4.3e-9
273	2200	1.44570e-5	5.5e-9
273	2400	1.45669e-5	7e-9
273	2600	1.46860e-5	8.9e-9
273	2800	1.4817e-5	1.1e-8
273	3000	1.4962e-5	1.5e-8
274	0.05	1.36e-5	1.4e-6
274	200	1.3703200e-5	3.2e-11
274	400	1.376710e-5	1.3e-10
274	600	1.383360e-5	3e-10
274	800	1.390290e-5	5.5e-10
274	1000	1.397540e-5	8.8e-10
274	1200	1.40513e-5	1.3e-9
274	1400	1.41310e-5	1.8e-9
274	1600	1.42151e-5	2.5e-9
274	1800	1.43039e-5	3.3e-9
274	2000	1.43984e-5	4.2e-9
274	2200	1.44992e-5	5.4e-9
274	2400	1.46075e-5	6.8e-9
274	2600	1.47248e-5	8.6e-9
274	2800	1.4853e-5	1.1e-8
274	3000	1.4995e-5	1.4e-8
275	0.05	1.37e-5	1.4e-6
275	200	1.3752000e-5	3.2e-11
275	400	1.381550e-5	1.3e-10
275	600	1.388160e-5	3e-10
275	800	1.395050e-5	5.4e-10
275	1000	1.402250e-5	8.7e-10
275	1200	1.40979e-5	1.3e-9
275	1400	1.41770e-5	1.8e-9
275	1600	1.42604e-5	2.4e-9
275	1800	1.43484e-5	3.2e-9
275	2000	1.44419e-5	4.1e-9
275	2200	1.45415e-5	5.2e-9
275	2400	1.46484e-5	6.6e-9
275	2600	1.47638e-5	8.3e-9
275	2800	1.4890e-5	1e-8
275	3000	1.5028e-5	1.3e-8
275	3200	1.5183e-5	1.7e-8
276	0.05	1.37e-5	1.4e-6
276	200	1.3800700e-5	3.1e-11
276	400	1.386390e-5	1.3e-10
276	600	1.392960e-5	2.9e-10
276	800	1.399810e-5	5.3e-10
276	1000	1.406970e-5	8.5e-10
276	1200	1.41445e-5	1.3e-9
276	1400	1.42231e-5	1.8e-9
276	1600	1.43057e-5	2.4e-9
276	1800	1.43929e-5	3.1e-9
276	2000	1.44854e-5	4e-9
276	2200	1.45839e-5	5.1e-9
276	2400	1.46894e-5	6.4e-9
276	2600	1.48030e-5	8e-9
276	2800	1.4927e-5	1e-8
276	3000	1.5062e-5	1.3e-8
276	3200	1.5213e-5	1.6e-8
277	0.05	1.38e-5	1.4e-6
277	200	1.3849300e-5	3.1e-11
277	400	1.391220e-5	1.3e-10
277	600	1.397760e-5	2.9e-10
277	800	1.404570e-5	5.3e-10
277	1000	1.411680e-5	8.4e-10
277	1200	1.41911e-5	1.2e-9
277	1400	1.42691e-5	1.7e-9
277	1600	1.43510e-5	2.3e-9
277	1800	1.44375e-5	3e-9
277	2000	1.45290e-5	3.9e-9
277	2200	1.46264e-5	4.9e-9
277	2400	1.47305e-5	6.2e-9
277	2600	1.48425e-5	7.7e-9
277	2800	1.49639e-5	9.7e-9
277	3000	1.5097e-5	1.2e-8
277	3200	1.5244e-5	1.5e-8
277	3400	1.5410e-5	2e-8
278	0.05	1.38e-5	1.4e-6
278	200	1.3897900e-5	3.1e-11
278	400	1.396050e-5	1.2e-10
278	600	1.402550e-5	2.9e-10
278	800	1.409330e-5	5.2e-10
278	1000	1.416390e-5	8.3e-10
278	1200	1.42377e-5	1.2e-9
278	1400	1.43151e-5	1.7e-9
278	1600	1.43964e-5	2.3e-9
278	1800	1.44821e-5	3e-9
278	2000	1.45727e-5	3.8e-9
278	2200	1.46690e-5	4.8e-9
278	2400	1.47718e-5	6e-9
278	2600	1.48821e-5	7.5e-9
278	2800	1.50015e-5	9.3e-9
278	3000	1.5132e-5	1.2e-8
278	3200	1.5276e-5	1.5e-8
278	3400	1.5437e-5	1.9e-8
279	0.05	1.39e-5	1.4e-6
279	200	1.3946500e-5	3e-11
279	400	1.400880e-5	1.2e-10
279	600	1.407340e-5	2.8e-10
279	800	1.414080e-5	5.1e-10
279	1000	1.421100e-5	8.1e-10
279	1200	1.42843e-5	1.2e-9
279	1400	1.43611e-5	1.7e-9
279	1600	1.44417e-5	2.2e-9
279	1800	1.45267e-5	2.9e-9
279	2000	1.46164e-5	3.7e-9
279	2200	1.47116e-5	4.7e-9
279	2400	1.48132e-5	5.9e-9
279	2600	1.49220e-5	7.3e-9
279	2800	1.50394e-5	9e-9
279	3000	1.5167e-5	1.1e-8
279	3200	1.5308e-5	1.4e-8
279	3400	1.5465e-5	1.8e-8
279	3600	1.5643e-5	2.3e-8
280	0.05	1.39e-5	1.4e-6
280	200	1.3995000e-5	3e-11
280	400	1.405700e-5	1.2e-10
280	600	1.412130e-5	2.8e-10
280	800	1.418820e-5	5e-10
280	1000	1.425800e-5	8e-10
280	1200	1.43308e-5	1.2e-9
280	1400	1.44071e-5	1.6e-9
280	1600	1.44871e-5	2.2e-9
